OTUid	Kingdom	K_identity	Phylum	P_identity	Class	C_identity	Order	O_identity	Family	F_identity	Genus	G_identity	Species	S_identity
Zotu1100	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Caulobacterales	0.78	Caulobacteraceae	0.78	Caulobacter	0.54	Caulobacter_segnis	0.36
Zotu1180	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.69	Caulobacteraceae	0.69	Caulobacter	0.69	Caulobacter_segnis	0.68
Zotu1210	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Caulobacterales	0.5	Caulobacteraceae	0.48	Caulobacter	0.37	Caulobacter_henricii	0.36
Zotu132	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.99	Caulobacteraceae	0.99	Caulobacter	0.96	Caulobacter_henricii	0.93
Zotu14	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Caulobacter	1	Caulobacter_henricii	1
Zotu153	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Caulobacter	1	Caulobacter_segnis	1
Zotu201	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.74	Caulobacteraceae	0.74	Caulobacter	0.74	Caulobacter_henricii	0.67
Zotu210	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.88	Caulobacteraceae	0.88	Caulobacter	0.82	Caulobacter_henricii	0.76
Zotu218	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.88	Caulobacteraceae	0.88	Caulobacter	0.86	Caulobacter_henricii	0.84
Zotu2768	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.83	Caulobacteraceae	0.83	Caulobacter	0.83	Caulobacter_henricii	0.75
Zotu365	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.97	Caulobacteraceae	0.97	Caulobacter	0.94	Caulobacter_henricii	0.86
Zotu375	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Caulobacter	0.99	Caulobacter_henricii	0.96
Zotu422	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.97	Caulobacteraceae	0.97	Caulobacter	0.94	Caulobacter_henricii	0.86
Zotu44	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.98	Caulobacteraceae	0.98	Caulobacter	0.95	Caulobacter_henricii	0.92
Zotu445	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.95	Caulobacteraceae	0.95	Caulobacter	0.95	Caulobacter_segnis	0.94
Zotu4506	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.81	Caulobacteraceae	0.81	Caulobacter	0.8	Caulobacter_henricii	0.8
Zotu4741	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.91	Caulobacteraceae	0.91	Caulobacter	0.91	Caulobacter_henricii	0.82
Zotu476	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Caulobacter	1	Caulobacter_henricii	0.7
Zotu552	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.96	Caulobacteraceae	0.96	Caulobacter	0.96	Caulobacter_segnis	0.95
Zotu56	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.98	Caulobacteraceae	0.98	Caulobacter	0.95	Caulobacter_henricii	0.92
Zotu603	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.94	Caulobacteraceae	0.94	Caulobacter	0.91	Caulobacter_henricii	0.84
Zotu648	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Caulobacterales	0.49	Caulobacteraceae	0.45	Caulobacter	0.36	Caulobacter_henricii	0.35
Zotu7470	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.99	Caulobacteraceae	0.99	Caulobacter	0.98	AsCoM_s_323	0.77
Zotu831	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.92	Caulobacteraceae	0.92	Caulobacter	0.6	Caulobacter_henricii	0.52
Zotu869	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Caulobacter	1	Caulobacter_segnis	0.9
Zotu967	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.67	Caulobacteraceae	0.67	Caulobacter	0.65	Caulobacter_henricii	0.51
Zotu973	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.86	Caulobacteraceae	0.86	Caulobacter	0.86	Caulobacter_henricii	0.78
Zotu243	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Flavobacteriales	1	Weeksellaceae	1	Chryseobacterium	0.99	AsCoM_s_13562	0.37
Zotu508	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Cytophagales	1	Microscillaceae	1	Chryseolinea	0.58	AsCoM_s_413	0.36
Zotu542	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Cytophagales	1	Microscillaceae	1	Chryseolinea	0.57	AsCoM_s_413	0.35
Zotu566	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Xanthomonadales	1	Rhodanobacteraceae	1	Chujaibacter	1	AsCoM_s_219	1
Zotu11067	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	Comamonas	0.35	AsCoM_s_1733	0.35
Zotu1774	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	Comamonas	0.66	AsCoM_s_1733	0.65
Zotu3243	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Comamonas	0.49	AsCoM_s_1733	0.49
Zotu402	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Comamonas	0.82	AsCoM_s_1733	0.82
Zotu46	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Comamonas	0.66	AsCoM_s_1733	0.65
Zotu517	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Comamonas	0.39	AsCoM_s_10668	0.36
Zotu836	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Comamonas	0.85	AsCoM_s_1733	0.85
Zotu610	Bacteria	1	Actinobacteria	1	Thermoleophilia	1	Solirubrobacterales	0.94	Solirubrobacteraceae	0.82	Conexibacter	0.82	Conexibacter_arvalis	0.82
Zotu571	Bacteria	1	Proteobacteria	0.91	Gammaproteobacteria	0.88	AsCoM_o_1267	0.45	AsCoM_f_4827	0.4	Coxiella	0.11	AsCoM_s_14261	0.11
Zotu10	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	1	Cupriavidus	0.99	Cupriavidus_campinensis	0.99
Zotu10420	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.56	Cupriavidus	0.33	Cupriavidus_alkaliphilus	0.17
Zotu10712	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.54	Cupriavidus	0.53	Duganella_radicis	0.26
Zotu184	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.94	Burkholderiales	0.94	Burkholderiaceae	0.73	Cupriavidus	0.73	Cupriavidus_campinensis	0.73
Zotu185	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.99	Cupriavidus	0.87	Cupriavidus_campinensis	0.87
Zotu216	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.92	Burkholderiales	0.92	Burkholderiaceae	0.72	Cupriavidus	0.72	Cupriavidus_campinensis	0.72
Zotu244	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.99	Burkholderiales	0.99	Burkholderiaceae	0.78	Cupriavidus	0.78	Cupriavidus_campinensis	0.78
Zotu417	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.54	Cupriavidus	0.27	Cupriavidus_campinensis	0.27
Zotu478	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	1	Cupriavidus	1	Cupriavidus_alkaliphilus	0.83
Zotu101	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	Devosia_insulae	0.94
Zotu116	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_4443	0.92
Zotu167	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_12932	0.82
Zotu231	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_13376	0.67
Zotu288	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.96	Devosiaceae	0.92	Devosia	0.92	Devosia_insulae	0.66
Zotu333	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Rhizobiales	0.85	Devosiaceae	0.8	Devosia	0.8	Devosia_insulae	0.3
Zotu383	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_707	0.82
Zotu431	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	0.95	Devosia	0.93	AsCoM_s_10254	0.3
Zotu484	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	0.98	Devosia	0.98	AsCoM_s_4443	0.84
Zotu509	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_707	0.92
Zotu511	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.99	Devosiaceae	0.94	Devosia	0.94	Devosia_insulae	0.67
Zotu531	Bacteria	1	Proteobacteria	0.98	Alphaproteobacteria	0.98	Rhizobiales	0.67	Devosiaceae	0.57	Devosia	0.57	AsCoM_s_3105	0.27
Zotu5313	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.56	Rhizobiales	0.56	Devosiaceae	0.54	Devosia	0.4	AsCoM_s_1612	0.36
Zotu549	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_12932	0.43
Zotu568	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.93	Devosiaceae	0.82	Devosia	0.82	AsCoM_s_4443	0.55
Zotu579	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	0.99	Devosia	0.98	AsCoM_s_3962	0.44
Zotu605	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.91	Devosiaceae	0.76	Devosia	0.76	AsCoM_s_4443	0.57
Zotu620	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	Devosia_insulae	1
Zotu686	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_1931	0.54
Zotu698	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	0.96	Devosia	0.96	Devosia_insulae	0.73
Zotu715	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_1357	0.82
Zotu745	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	Devosia_insulae	0.85
Zotu755	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	1	AsCoM_s_707	0.85
Zotu8015	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.99	Devosiaceae	0.66	Devosia	0.66	AsCoM_s_2305	0.19
Zotu867	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	0.6	Devosia	0.6	Devosia_insulae	0.44
Zotu878	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	0.99	Devosia	0.99	AsCoM_s_12932	0.87
Zotu88	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	1	Devosia	0.99	Devosia_insulae	0.41
Zotu900	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Devosiaceae	0.6	Devosia	0.6	Devosia_insulae	0.46
Zotu960	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Rhizobiales	0.91	Devosiaceae	0.84	Devosia	0.84	AsCoM_s_12932	0.71
Zotu9639	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.63	Rhizobiales	0.59	Devosiaceae	0.41	Devosia	0.41	AsCoM_s_1931	0.21
Zotu1477	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	1	Dongiaceae	1	Dongia	1	AsCoM_s_632	1
Zotu253	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	0.99	Dongiaceae	0.99	Dongia	0.99	AsCoM_s_632	0.99
Zotu272	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	1	Dongiaceae	1	Dongia	1	AsCoM_s_10259	0.97
Zotu2734	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	0.98	Dongiaceae	0.98	Dongia	0.98	AsCoM_s_4542	0.68
Zotu343	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	1	Dongiaceae	1	Dongia	1	AsCoM_s_3855	0.71
Zotu479	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	1	Dongiaceae	1	Dongia	1	AsCoM_s_4542	0.66
Zotu535	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	0.96	Dongiaceae	0.96	Dongia	0.96	AsCoM_s_428	0.88
Zotu55	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	1	Dongiaceae	1	Dongia	1	AsCoM_s_428	1
Zotu588	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	0.98	Dongiaceae	0.98	Dongia	0.98	AsCoM_s_428	0.89
Zotu7060	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	0.67	Dongiaceae	0.67	Dongia	0.67	AsCoM_s_428	0.62
Zotu724	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	1	Dongiaceae	1	Dongia	1	AsCoM_s_3855	0.89
Zotu7576	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Dongiales	0.79	Dongiaceae	0.79	Dongia	0.79	AsCoM_s_428	0.77
Zotu124	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Duganella	0.5	AsCoM_s_1239	0.38
Zotu161	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Duganella	0.58	AsCoM_s_1239	0.5
Zotu20	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Duganella	0.68	Duganella_sp.	0.42
Zotu204	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.95	Burkholderiales	0.95	Oxalobacteraceae	0.89	Duganella	0.57	Duganella_sp.	0.33
Zotu240	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.89	Burkholderiales	0.89	Oxalobacteraceae	0.89	Duganella	0.89	Zoogloea_ramigera	0.89
Zotu277	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Duganella	0.59	Pseudoduganella_danionis	0.38
Zotu291	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.62	Burkholderiales	0.62	Oxalobacteraceae	0.58	Duganella	0.41	AsCoM_s_3105	0.32
Zotu294	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.93	Burkholderiales	0.93	Oxalobacteraceae	0.86	Duganella	0.55	Duganella_sp.	0.31
Zotu309	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.92	Duganella	0.4	Duganella_sp.	0.21
Zotu327	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.99	Burkholderiales	0.99	Oxalobacteraceae	0.94	Duganella	0.56	Duganella_sp.	0.38
Zotu434	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Duganella	0.37	AsCoM_s_372	0.26
Zotu4634	Bacteria	1	Proteobacteria	0.97	Gammaproteobacteria	0.74	Burkholderiales	0.74	Oxalobacteraceae	0.74	Duganella	0.74	Zoogloea_ramigera	0.74
Zotu6119	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.82	Burkholderiales	0.82	Oxalobacteraceae	0.77	Duganella	0.4	Pseudoduganella_danionis	0.39
Zotu636	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.96	Burkholderiales	0.96	Oxalobacteraceae	0.82	Duganella	0.27	AsCoM_s_1239	0.27
Zotu6413	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.71	Duganella	0.21	AsCoM_s_171	0.15
Zotu7349	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.81	Burkholderiales	0.81	Oxalobacteraceae	0.76	Duganella	0.39	Pseudoduganella_danionis	0.38
Zotu7984	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.76	Duganella	0.22	AsCoM_s_171	0.16
Zotu9204	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.99	Duganella	0.52	AsCoM_s_1239	0.26
Zotu957	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.7	Duganella	0.29	AsCoM_s_1239	0.24
Zotu9811	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.97	Burkholderiales	0.97	Oxalobacteraceae	0.95	Duganella	0.44	AsCoM_s_1239	0.19
Zotu99	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.62	Duganella	0.38	Paraburkholderia_terricola	0.29
Zotu265	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Flavobacteriales	1	Flavobacteriaceae	1	Flavobacterium	1	AsCoM_s_414	0.69
Zotu739	Bacteria	1	Actinobacteria	1	Thermoleophilia	1	Gaiellales	1	Gaiellaceae	1	Gaiella	1	AsCoM_s_570	0.98
Zotu780	Bacteria	1	Actinobacteria	1	Thermoleophilia	1	Gaiellales	1	Gaiellaceae	1	Gaiella	1	AsCoM_s_1307	0.84
Zotu135	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Herbaspirillum	0.59	AsCoM_s_171	0.59
Zotu1390	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.89	Herbaspirillum	0.53	AsCoM_s_171	0.46
Zotu203	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Herbaspirillum	0.51	AsCoM_s_171	0.26
Zotu3402	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.68	Herbaspirillum	0.4	AsCoM_s_171	0.39
Zotu364	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Herbaspirillum	0.55	AsCoM_s_171	0.55
Zotu406	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.98	Herbaspirillum	0.31	AsCoM_s_171	0.31
Zotu475	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.94	Burkholderiales	0.93	Oxalobacteraceae	0.44	Herbaspirillum	0.18	AsCoM_s_171	0.18
Zotu518	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.99	Herbaspirillum	0.47	AsCoM_s_171	0.47
Zotu6101	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.83	Herbaspirillum	0.36	AsCoM_s_171	0.36
Zotu689	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	Herbaspirillum	0.54	AsCoM_s_171	0.35
Zotu7655	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.96	Burkholderiales	0.96	Oxalobacteraceae	0.91	Herbaspirillum	0.45	AsCoM_s_171	0.45
Zotu7765	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.83	Burkholderiales	0.83	Oxalobacteraceae	0.7	Herbaspirillum	0.35	AsCoM_s_171	0.33
Zotu7974	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.62	Herbaspirillum	0.38	AsCoM_s_171	0.38
Zotu8973	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.55	Herbaspirillum	0.36	AsCoM_s_171	0.3
Zotu905	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.66	Burkholderiales	0.66	Oxalobacteraceae	0.51	Herbaspirillum	0.45	Herbaspirillum_aquaticum	0.38
Zotu9749	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.92	Herbaspirillum	0.61	AsCoM_s_171	0.61
Zotu1037	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	AsCoM_s_1007	0.85
Zotu10975	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.98	Rhizobiales	0.97	Hyphomicrobiaceae	0.76	Hyphomicrobium	0.74	AsCoM_s_9672	0.45
Zotu114	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	AsCoM_s_1007	0.96
Zotu285	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	AsCoM_s_1007	0.99
Zotu302	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	AsCoM_s_9672	0.86
Zotu381	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.94	Hyphomicrobiaceae	0.92	Hyphomicrobium	0.89	AsCoM_s_1007	0.82
Zotu408	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	0.99	AsCoM_s_406	0.94
Zotu499	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.95	Hyphomicrobiaceae	0.93	Hyphomicrobium	0.89	AsCoM_s_1007	0.79
Zotu551	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	AsCoM_s_9672	0.84
Zotu600	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	AsCoM_s_1007	0.97
Zotu638	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	Hyphomicrobium_zavarzinii	0.98
Zotu723	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.94	Hyphomicrobiaceae	0.9	Hyphomicrobium	0.82	AsCoM_s_1007	0.67
Zotu740	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Hyphomicrobiaceae	1	Hyphomicrobium	1	AsCoM_s_1007	0.97
Zotu105	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	0.88	AsCoM_s_381	0.88
Zotu11075	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	0.98	AsCoM_s_381	0.98
Zotu112	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	0.72	AsCoM_s_381	0.72
Zotu159	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	0.55	AsCoM_s_381	0.55
Zotu165	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.97	Burkholderiales	0.97	Comamonadaceae	0.87	Ideonella	0.83	AsCoM_s_381	0.83
Zotu169	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	0.57	AsCoM_s_381	0.57
Zotu2009	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.82	Burkholderiales	0.82	Comamonadaceae	0.7	Ideonella	0.63	AsCoM_s_381	0.63
Zotu230	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.95	Burkholderiales	0.95	Comamonadaceae	0.87	Ideonella	0.83	AsCoM_s_381	0.83
Zotu3	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	0.99	AsCoM_s_381	0.99
Zotu3839	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	Ideonella	0.98	AsCoM_s_381	0.98
Zotu391	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	0.99	AsCoM_s_2590	0.59
Zotu4279	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.84	Ideonella	0.33	AsCoM_s_381	0.28
Zotu4810	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.71	Burkholderiales	0.69	Comamonadaceae	0.59	Ideonella	0.54	AsCoM_s_381	0.54
Zotu5062	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.83	Ideonella	0.45	AsCoM_s_2590	0.27
Zotu5557	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.82	Ideonella	0.37	AsCoM_s_381	0.31
Zotu5684	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	0.99	Comamonadaceae	0.99	Ideonella	0.98	AsCoM_s_381	0.98
Zotu626	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	Ideonella	1	AsCoM_s_381	1
