OTUid	Kingdom	K_identity	Phylum	P_identity	Class	C_identity	Order	O_identity	Family	F_identity	Genus	G_identity	Species	S_identity
Zotu894	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	AsCoM_g_171	0.46	AsCoM_s_3733	0.31
Zotu397	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.98	AsCoM_g_1801	0.55	AsCoM_s_317	0.43
Zotu546	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Rhodocyclaceae	0.98	AsCoM_g_1847	0.9	AsCoM_s_6942	0.88
Zotu625	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Rhodocyclaceae	0.97	AsCoM_g_1847	0.9	AsCoM_s_6942	0.88
Zotu111	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.54	AsCoM_s_557	0.53
Zotu1169	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.42	AsCoM_s_557	0.41
Zotu1173	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.94	AsCoM_g_195	0.27	AsCoM_s_1572	0.25
Zotu1290	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.61	AsCoM_s_557	0.51
Zotu1391	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.59	AsCoM_g_195	0.55	AsCoM_s_557	0.55
Zotu1467	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.69	AsCoM_g_195	0.28	AsCoM_s_1572	0.22
Zotu1679	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.49	AsCoM_g_195	0.47	AsCoM_s_2336	0.44
Zotu1683	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	AsCoM_g_195	0.55	AsCoM_s_830	0.21
Zotu171	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.58	AsCoM_s_332	0.35
Zotu1862	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.95	Burkholderiales	0.95	Comamonadaceae	0.91	AsCoM_g_195	0.7	AsCoM_s_557	0.7
Zotu1890	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.7	AsCoM_g_195	0.68	AsCoM_s_557	0.68
Zotu1901	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.9	Burkholderiales	0.89	Comamonadaceae	0.86	AsCoM_g_195	0.66	AsCoM_s_557	0.66
Zotu1910	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.98	Burkholderiales	0.98	Comamonadaceae	0.92	AsCoM_g_195	0.77	AsCoM_s_557	0.77
Zotu2045	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	0.61	AsCoM_g_195	0.26	AsCoM_s_557	0.26
Zotu207	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.59	AsCoM_s_12832	0.42
Zotu21	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.89	AsCoM_s_557	0.89
Zotu2117	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.94	AsCoM_g_195	0.84	AsCoM_s_557	0.81
Zotu2118	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	AsCoM_g_195	0.6	AsCoM_s_557	0.5
Zotu217	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.76	AsCoM_s_2597	0.76
Zotu2223	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.74	Burkholderiales	0.74	Comamonadaceae	0.72	AsCoM_g_195	0.58	AsCoM_s_557	0.58
Zotu2288	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.45	AsCoM_s_557	0.37
Zotu232	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	AsCoM_g_195	0.74	AsCoM_s_557	0.54
Zotu235	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.93	AsCoM_s_2336	0.92
Zotu2579	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	AsCoM_g_195	0.89	AsCoM_s_557	0.87
Zotu271	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	AsCoM_g_195	0.33	AsCoM_s_5307	0.21
Zotu273	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.3	AsCoM_s_1018	0.2
Zotu3435	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.95	AsCoM_g_195	0.26	AsCoM_s_1572	0.24
Zotu3585	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	AsCoM_g_195	0.55	AsCoM_s_557	0.54
Zotu3661	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.55	AsCoM_s_557	0.54
Zotu3729	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.99	Burkholderiales	0.99	Comamonadaceae	0.96	AsCoM_g_195	0.81	AsCoM_s_557	0.8
Zotu3768	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.99	AsCoM_g_195	0.87	AsCoM_s_557	0.87
Zotu3884	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.79	AsCoM_g_195	0.26	AsCoM_s_1572	0.24
Zotu4108	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.85	AsCoM_g_195	0.65	AsCoM_s_557	0.63
Zotu4218	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.76	AsCoM_g_195	0.18	AsCoM_s_1572	0.17
Zotu432	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.59	AsCoM_s_557	0.58
Zotu439	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.27	AsCoM_s_2092	0.18
Zotu4659	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.93	AsCoM_g_195	0.34	AsCoM_s_381	0.2
Zotu581	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.78	AsCoM_g_195	0.28	AsCoM_s_1572	0.2
Zotu8627	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.93	AsCoM_g_195	0.44	AsCoM_s_557	0.42
Zotu872	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	1	AsCoM_g_195	0.73	AsCoM_s_557	0.53
Zotu9122	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Comamonadaceae	0.9	AsCoM_g_195	0.55	AsCoM_s_557	0.31
Zotu630	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.62	AsCoM_g_24	0.17	AsCoM_s_24	0.17
Zotu1486	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Steroidobacterales	0.87	Steroidobacteraceae	0.87	AsCoM_g_321	0.59	AsCoM_s_779	0.59
Zotu219	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Steroidobacterales	1	Steroidobacteraceae	1	AsCoM_g_321	0.98	AsCoM_s_779	0.98
Zotu457	Bacteria	1	Armatimonadota	1	Fimbriimonadia	1	Fimbriimonadales	1	Fimbriimonadaceae	1	AsCoM_g_328	1	AsCoM_s_4468	0.87
Zotu748	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.88	AsCoM_g_3321	0.44	AsCoM_s_5676	0.36
Zotu316	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	0.89	AsCoM_f_378	0.89	AsCoM_g_4425	0.8	AsCoM_s_4425	0.8
Zotu341	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	0.85	AsCoM_f_378	0.85	AsCoM_g_4425	0.78	AsCoM_s_4425	0.78
Zotu413	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	AsCoM_f_378	1	AsCoM_g_4425	1	AsCoM_s_4425	1
Zotu515	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	0.64	AsCoM_f_378	0.64	AsCoM_g_4425	0.59	AsCoM_s_4425	0.59
Zotu57	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	AsCoM_f_378	1	AsCoM_g_4425	1	AsCoM_s_4425	1
Zotu628	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Azospirillales	1	AsCoM_f_378	1	AsCoM_g_4425	1	AsCoM_s_4425	1
Zotu559	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Pseudomonadales	1	Moraxellaceae	1	AsCoM_g_4509	1	AsCoM_s_4509	0.56
Zotu576	Bacteria	1	Chloroflexi	1	Ardenticatenia	1	AsCoM_o_157	1	AsCoM_f_857	1	AsCoM_g_4693	1	AsCoM_s_13877	0.8
